time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,6,5,,
2025-11-03 00:00:00+00:00,26,6,1.0,1.0
2025-11-04 00:00:00+00:00,8,5,,
2025-11-05 00:00:00+00:00,7,4,,
2025-11-06 00:00:00+00:00,5,4,,
2025-11-07 00:00:00+00:00,6,5,1.0,1.0
2025-11-08 00:00:00+00:00,10,4,,
2025-11-09 00:00:00+00:00,21,5,1.0,1.0
2025-11-10 00:00:00+00:00,4,3,,
2025-11-11 00:00:00+00:00,19,8,,
2025-11-12 00:00:00+00:00,5,4,,
2025-11-13 00:00:00+00:00,5,4,,
2025-11-14 00:00:00+00:00,12,5,,
2025-11-15 00:00:00+00:00,2,1,,
