time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-11 00:00:00+00:00,4,3,1,1
2026-08-12 00:00:00+00:00,11,5,1,1
2026-08-13 00:00:00+00:00,12,6,0,0
2026-08-14 00:00:00+00:00,15,10,0,0
2026-08-15 00:00:00+00:00,6,5,0,0
2026-08-16 00:00:00+00:00,10,4,0,0
2026-08-17 00:00:00+00:00,24,14,0,0
2026-08-18 00:00:00+00:00,4,3,0,0
2026-08-19 00:00:00+00:00,11,5,0,0
2026-08-20 00:00:00+00:00,5,4,0,0
2026-08-21 00:00:00+00:00,3,2,0,0
2026-08-22 00:00:00+00:00,17,7,0,0
2026-08-23 00:00:00+00:00,3,2,0,0
2026-08-24 00:00:00+00:00,4,3,0,0
