time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,5,4,0,0
2026-08-28 00:00:00+00:00,3,2,0,0
2026-08-29 00:00:00+00:00,18,9,0,0
2026-08-30 00:00:00+00:00,5,4,0,0
2026-08-31 00:00:00+00:00,4,3,0,0
2026-09-01 00:00:00+00:00,5,4,0,0
2026-09-02 00:00:00+00:00,16,8,0,0
2026-09-03 00:00:00+00:00,6,5,0,0
2026-09-04 00:00:00+00:00,5,4,0,0
2026-09-05 00:00:00+00:00,18,8,0,0
2026-09-06 00:00:00+00:00,4,3,0,0
2026-09-07 00:00:00+00:00,5,4,0,0
2026-09-08 00:00:00+00:00,3,2,0,0
2026-09-09 00:00:00+00:00,3,2,1,1
