time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-18 00:00:00+00:00,10,5,,
2025-04-19 00:00:00+00:00,4,3,,
2025-04-20 00:00:00+00:00,7,3,,
2025-04-21 00:00:00+00:00,6,3,,
2025-04-22 00:00:00+00:00,4,3,,
2025-04-23 00:00:00+00:00,6,3,,
2025-04-24 00:00:00+00:00,3,2,1.0,1.0
2025-04-25 00:00:00+00:00,6,3,,
2025-04-26 00:00:00+00:00,3,2,,
2025-04-27 00:00:00+00:00,6,3,1.0,1.0
2025-04-28 00:00:00+00:00,3,2,,
2025-04-29 00:00:00+00:00,4,3,1.0,1.0
2025-04-30 00:00:00+00:00,7,3,,
