time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,10,5,0,0
2026-03-31 00:00:00+00:00,15,6,0,0
2026-04-01 00:00:00+00:00,13,8,0,0
2026-04-02 00:00:00+00:00,17,8,0,0
2026-04-03 00:00:00+00:00,18,8,0,0
2026-04-04 00:00:00+00:00,19,10,0,0
2026-04-05 00:00:00+00:00,17,8,0,0
2026-04-06 00:00:00+00:00,17,8,1,1
2026-04-07 00:00:00+00:00,6,5,1,1
2026-04-08 00:00:00+00:00,25,11,0,0
2026-04-09 00:00:00+00:00,11,5,0,0
2026-04-10 00:00:00+00:00,10,4,0,0
2026-04-11 00:00:00+00:00,10,5,0,0
2026-04-12 00:00:00+00:00,25,7,0,0
