time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,35,17,0,0
2026-04-26 00:00:00+00:00,32,12,1,1
2026-04-27 00:00:00+00:00,23,9,1,1
2026-04-28 00:00:00+00:00,14,4,0,0
2026-04-29 00:00:00+00:00,23,9,1,1
2026-04-30 00:00:00+00:00,20,6,0,0
2026-05-01 00:00:00+00:00,21,5,0,0
2026-05-02 00:00:00+00:00,31,8,0,0
2026-05-03 00:00:00+00:00,39,12,0,0
2026-05-04 00:00:00+00:00,17,6,0,0
2026-05-05 00:00:00+00:00,29,9,1,1
2026-05-06 00:00:00+00:00,11,5,0,0
2026-05-07 00:00:00+00:00,27,8,0,0
2026-05-08 00:00:00+00:00,17,7,0,0
