time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,3,2,,
2025-09-08 00:00:00+00:00,3,2,,
2025-09-09 00:00:00+00:00,4,3,,
2025-09-10 00:00:00+00:00,6,5,2.0,2.0
2025-09-11 00:00:00+00:00,5,4,5.0,2.0
2025-09-12 00:00:00+00:00,7,6,,
2025-09-13 00:00:00+00:00,6,5,,
2025-09-14 00:00:00+00:00,6,5,,
2025-09-15 00:00:00+00:00,3,2,,
2025-09-16 00:00:00+00:00,12,7,1.0,1.0
2025-09-17 00:00:00+00:00,10,7,,
2025-09-18 00:00:00+00:00,4,3,,
2025-09-19 00:00:00+00:00,7,4,,
2025-09-20 00:00:00+00:00,1,1,,
