time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-11 00:00:00+00:00,3,2,0,0
2026-07-12 00:00:00+00:00,9,3,0,0
2026-07-13 00:00:00+00:00,24,9,0,0
2026-07-14 00:00:00+00:00,17,7,0,0
2026-07-15 00:00:00+00:00,4,3,0,0
2026-07-16 00:00:00+00:00,18,8,0,0
2026-07-17 00:00:00+00:00,24,9,0,0
2026-07-18 00:00:00+00:00,21,7,0,0
2026-07-19 00:00:00+00:00,10,4,0,0
2026-07-20 00:00:00+00:00,18,9,0,0
2026-07-21 00:00:00+00:00,23,8,0,0
2026-07-22 00:00:00+00:00,11,6,0,0
2026-07-23 00:00:00+00:00,3,2,0,0
2026-07-24 00:00:00+00:00,4,3,1,1
