time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-05 00:00:00+00:00,14,5,0,0
2026-07-06 00:00:00+00:00,4,3,0,0
2026-07-07 00:00:00+00:00,31,11,0,0
2026-07-08 00:00:00+00:00,2,2,0,0
2026-07-09 00:00:00+00:00,3,2,0,0
2026-07-10 00:00:00+00:00,20,8,0,0
2026-07-11 00:00:00+00:00,3,2,0,0
2026-07-12 00:00:00+00:00,9,3,0,0
2026-07-13 00:00:00+00:00,24,9,0,0
2026-07-14 00:00:00+00:00,17,7,0,0
2026-07-15 00:00:00+00:00,4,3,0,0
2026-07-16 00:00:00+00:00,18,8,0,0
2026-07-17 00:00:00+00:00,24,9,0,0
2026-07-18 00:00:00+00:00,21,7,0,0
