url_path,views_total,views_unique
/abhinav12k/Typster/actions/runs/6830475796,4,2
/abhinav12k/Typster/blob/github-repo-stats/abhinav12k/Typster/latest-report/report.pdf,4,1
/abhinav12k/Typster/blob/6514009967981b22ae3e5a5d2bca59b029af5fab/build.gradle.kts,2,1
/abhinav12k/Typster/tree/github-repo-stats/abhinav12k/Typster,2,1
/abhinav12k/Typster/tree/github-repo-stats/abhinav12k/Typster/latest-report,2,1
/abhinav12k/Typster,1,1
/abhinav12k/Typster/pulse,1,1
/abhinav12k/Typster/tree/github-repo-stats,1,1
