time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,13,6,0,0
2026-06-17 00:00:00+00:00,27,8,0,0
2026-06-18 00:00:00+00:00,18,8,0,0
2026-06-19 00:00:00+00:00,51,12,0,0
2026-06-20 00:00:00+00:00,37,11,0,0
2026-06-21 00:00:00+00:00,44,11,0,0
2026-06-22 00:00:00+00:00,19,8,0,0
2026-06-23 00:00:00+00:00,20,7,0,0
2026-06-24 00:00:00+00:00,23,9,0,0
2026-06-25 00:00:00+00:00,46,11,0,0
2026-06-26 00:00:00+00:00,21,7,0,0
2026-06-27 00:00:00+00:00,7,4,0,0
2026-06-28 00:00:00+00:00,13,4,0,0
2026-06-29 00:00:00+00:00,19,7,0,0
