time_iso8601,stars_cumulative
2023-03-13 00:00:00+00:00,4
2023-03-14 00:00:00+00:00,5
2023-03-16 00:00:00+00:00,6
2023-03-18 00:00:00+00:00,7
2023-03-23 00:00:00+00:00,8
2023-03-24 00:00:00+00:00,13
2023-03-26 00:00:00+00:00,14
2023-03-29 00:00:00+00:00,15
2023-04-12 00:00:00+00:00,16
2023-10-08 00:00:00+00:00,17
